BP_Enemy_C_2 X=4377.673 Y=3599.548 Z=261.325, BP_Citizen_C_5 X=4248.117 Y=3779.857 Z=255.000, 2024.05.08-16.16.19
BP_Enemy_C_0 X=4378.065 Y=3509.167 Z=261.250, BP_Citizen_C_2 X=4235.723 Y=3775.797 Z=255.000, 2024.05.08-16.16.19
BP_Citizen_C_2 X=4250.806 Y=3776.194 Z=263.650, BP_Enemy_C_1 X=4317.460 Y=3799.354 Z=255.000, 2024.05.08-16.16.20
BP_Citizen_C_5 X=4263.408 Y=3779.763 Z=263.750, BP_Enemy_C_1 X=4317.460 Y=3799.354 Z=255.000, 2024.05.08-16.16.20
BP_Enemy_C_2 X=4377.483 Y=3679.530 Z=261.325, BP_Citizen_C_5 X=4264.403 Y=3780.008 Z=255.000, 2024.05.08-16.16.20
BP_Enemy_C_0 X=4377.820 Y=3589.149 Z=261.250, BP_Citizen_C_2 X=4252.549 Y=3780.291 Z=255.000, 2024.05.08-16.16.20
BP_Citizen_C_2 X=4256.637 Y=3798.938 Z=263.650, BP_Enemy_C_1 X=4314.303 Y=3800.482 Z=255.000, 2024.05.08-16.16.20
BP_Enemy_C_2 X=4377.478 Y=3757.917 Z=261.325, BP_Citizen_C_5 X=4264.403 Y=3780.008 Z=255.000, 2024.05.08-16.16.20
BP_Enemy_C_0 X=4377.574 Y=3669.172 Z=261.250, BP_Citizen_C_2 X=4259.873 Y=3803.929 Z=255.000, 2024.05.08-16.16.20
BP_Enemy_C_2 X=4336.247 Y=3780.071 Z=261.325, BP_Citizen_C_5 X=4264.403 Y=3780.008 Z=255.000, 2024.05.08-16.16.20
BP_Enemy_C_0 X=4377.327 Y=3749.573 Z=261.250, BP_Citizen_C_2 X=4260.621 Y=3803.971 Z=255.000, 2024.05.08-16.16.20
BP_Enemy_C_0 X=4376.756 Y=3767.586 Z=261.250, BP_Citizen_C_5 X=4264.403 Y=3780.008 Z=255.000, 2024.05.08-16.16.21
BP_Enemy_C_2 X=4328.494 Y=3779.907 Z=261.325, BP_Citizen_C_5 X=4264.403 Y=3780.008 Z=255.000, 2024.05.08-16.16.21
BP_Citizen_C_8 X=4458.701 Y=4183.151 Z=263.650, BP_Enemy_C_1 X=4314.303 Y=3800.482 Z=255.000, 2024.05.08-16.16.21
BP_Citizen_C_8 X=4451.823 Y=4176.463 Z=263.650, BP_Enemy_C_1 X=4314.303 Y=3800.482 Z=255.000, 2024.05.08-16.16.21
BP_Enemy_C_0 X=4371.132 Y=3775.237 Z=261.250, BP_Citizen_C_5 X=4264.403 Y=3780.008 Z=255.000, 2024.05.08-16.16.21
BP_Citizen_C_8 X=4447.041 Y=4166.820 Z=263.650, BP_Enemy_C_1 X=4314.303 Y=3800.482 Z=255.000, 2024.05.08-16.16.21
BP_Citizen_C_8 X=4446.726 Y=4166.209 Z=263.650, BP_Enemy_C_1 X=4314.303 Y=3800.482 Z=255.000, 2024.05.08-16.16.21
BP_Citizen_C_8 X=4443.478 Y=4159.654 Z=263.650, BP_Enemy_C_1 X=4314.303 Y=3800.482 Z=255.000, 2024.05.08-16.16.21
BP_Citizen_C_8 X=4438.073 Y=4149.351 Z=263.650, BP_Enemy_C_1 X=4314.303 Y=3800.482 Z=255.000, 2024.05.08-16.16.21
BP_Enemy_C_0 X=4362.119 Y=3779.371 Z=261.250, BP_Citizen_C_5 X=4264.403 Y=3780.008 Z=255.000, 2024.05.08-16.16.21
BP_Citizen_C_8 X=4423.904 Y=4104.344 Z=263.650, BP_Enemy_C_1 X=4314.303 Y=3800.482 Z=255.000, 2024.05.08-16.16.21
BP_Enemy_C_0 X=4345.976 Y=3792.495 Z=261.250, BP_Citizen_C_5 X=4264.403 Y=3780.008 Z=255.000, 2024.05.08-16.16.21
BP_Citizen_C_8 X=4414.909 Y=4048.205 Z=263.650, BP_Enemy_C_1 X=4314.303 Y=3800.482 Z=255.000, 2024.05.08-16.16.22
BP_Enemy_C_0 X=4331.809 Y=3812.686 Z=261.250, BP_Citizen_C_5 X=4264.403 Y=3780.008 Z=255.000, 2024.05.08-16.16.22
BP_Citizen_C_8 X=4403.476 Y=3992.577 Z=263.650, BP_Enemy_C_1 X=4314.303 Y=3800.482 Z=255.000, 2024.05.08-16.16.22
BP_Enemy_C_0 X=4312.171 Y=3827.449 Z=261.250, BP_Citizen_C_5 X=4264.403 Y=3780.008 Z=255.000, 2024.05.08-16.16.22
BP_Enemy_C_0 X=4308.229 Y=3829.331 Z=261.250, BP_Citizen_C_8 X=4398.139 Y=3970.705 Z=255.000, 2024.05.08-16.16.22
BP_Enemy_C_0 X=4309.481 Y=3836.917 Z=261.250, BP_Citizen_C_8 X=4395.117 Y=3959.236 Z=255.000, 2024.05.08-16.16.22
BP_Citizen_C_8 X=4388.951 Y=3937.607 Z=263.650, BP_Enemy_C_1 X=4314.303 Y=3800.482 Z=255.000, 2024.05.08-16.16.22
BP_Enemy_C_0 X=4324.186 Y=3868.947 Z=261.250, BP_Citizen_C_8 X=4385.083 Y=3925.135 Z=255.000, 2024.05.08-16.16.22
BP_Enemy_C_0 X=4337.282 Y=3882.969 Z=261.250, BP_Citizen_C_5 X=4264.403 Y=3780.008 Z=255.000, 2024.05.08-16.16.23
BP_Citizen_C_8 X=4384.428 Y=3908.752 Z=263.650, BP_Enemy_C_1 X=4314.303 Y=3800.482 Z=255.000, 2024.05.08-16.16.23
BP_Enemy_C_0 X=4312.790 Y=3869.522 Z=261.250, BP_Citizen_C_5 X=4264.403 Y=3780.008 Z=255.000, 2024.05.08-16.16.23
BP_Citizen_C_8 X=4379.535 Y=3873.284 Z=263.650, BP_Enemy_C_1 X=4314.303 Y=3800.482 Z=255.000, 2024.05.08-16.16.23
BP_Enemy_C_0 X=4287.931 Y=3850.412 Z=261.250, BP_Citizen_C_5 X=4264.403 Y=3780.008 Z=255.000, 2024.05.08-16.16.23
